Year|Month|Day|Product Format|Total Net Sales|PO-Total
2020|January|1|3038094|222.31|0
2020|January|2|9152245|844.75|0
2020|January|3|9595174|540.74|0
2020|January|4|9595175|908.75|0
2020|January|5|9598230|4060.61|0
2020|January|6|9599297|1126.55|0
2020|January|7|10381553|1454.31|0
2020|January|8|10388355|5816.27|0
2020|January|9|11518061|240.25|0
2020|January|10|11519970|55.74|0
2020|January|11|11546904|1221.18|0
2020|January|12|11562183|112.03|0
2020|January|13|11569811|535.11|0
2020|January|14|11588522|83.04|0
2020|January|15|11588743|99.51|0
2020|January|16|11588818|5791|0
2020|January|17|11611176|190.2|0
2020|January|18|11611737|1551.76|0
2020|January|19|11612034|67.51|0
2020|January|20|12380318|161450.72|0
2020|January|21|12471686|355.99|0
2020|January|22|12584041|5766.05|0
2020|January|23|12589431|62.9|0
2020|January|24|12589461|600.35|0
2020|January|25|12596442|204.28|0
2020|January|26|12597567|9510.27|0
2020|January|27|12598014|2641.63|0
2020|January|28|12601240|12461.88|0
2020|January|29|12605175|40542.92|0
2020|January|30|12605492|4042.99|0
2020|January|31|12606671|3210.99|0
2020|January|1|12608432|682.1|0
2020|January|2|12609261|1651.15|0
2020|January|3|12609317|11627.76|0
2020|January|4|12609597|1614.64|0
2020|January|5|12611130|2826.01|0
2020|January|6|12618010|602.33|0
2020|January|7|12621505|30005.14|0
2020|January|8|12622410|120677.05|0
2020|January|9|12622550|118.76|0
2020|January|10|12622668|361.32|0
2020|January|11|12625480|428.58|0
2020|January|12|12628002|90.31|0
2020|January|13|12632948|185.69|0
2020|January|14|12635427|554.34|0
2020|January|15|12636524|6700.04|0
2020|January|16|12637192|234.15|0
2020|January|17|12639692|1175.23|0
2020|January|18|12641847|51113.81|0
2020|January|19|12643667|1279.76|0
2020|January|20|12643670|655.65|0
2020|January|21|12651113|1120.82|0
2020|January|22|12653318|38813.82|0
2020|January|23|12662670|7320.99|0
2020|January|24|12670058|1699.09|0
2020|January|25|12670834|9075.74|0
2020|January|26|12671379|1333.08|0
2020|January|27|12673207|4684.27|0
2020|January|28|12679099|214337.91|0
2020|January|29|12680750|14420.68|0
2020|January|30|12699847|26931.26|0
2020|January|31|13104978|2026.32|0
2020|January|1|13158257|655.37|0
2020|January|2|13375177|160.83|0
2020|January|3|13404731|503.43|0
2020|January|4|13464219|141.16|0
2020|January|5|13486139|3337.21|0
2020|January|6|13503410|13139.17|0
2020|January|7|13507235|69596.84|0
2020|January|8|13508782|35063.07|0
2020|January|9|13576846|5836.65|0
2020|January|10|13577718|3841.7|0
2020|January|11|13579213|1303.98|0
2020|January|12|13579646|169.87|0
2020|January|13|13581202|9753.43|0
2020|January|14|13583369|889.6|0
2020|January|15|13583891|187.28|0
2020|January|16|13588988|707.78|0
2020|January|17|13590792|1397.42|0
2020|January|18|13591798|3851.48|0
2020|January|19|13591799|35498.41|0
2020|January|20|13595628|31646.22|0
2020|January|21|13597089|4748.59|0
2020|January|22|15050703|2515.58|0
2020|January|23|15075118|11978.11|0
2020|January|24|15129652|2811.8|0
2020|January|25|15779960|3703.93|0
2020|January|26|15779961|16440.6|0
2020|January|27|15886198|2241.83|0
2020|January|28|15896222|2635.09|0
2020|January|29|15926330|39289|0
2020|January|30|15940309|1604.14|0
2020|January|31|19121006|2906.08|0
2020|January|1|19121015|25986.16|0
2020|January|2|19152922|1603.75|0
2020|January|3|19167140|605.87|0
2020|January|4|19167141|2349.58|0
2020|January|5|19171816|8855.59|0
2020|January|6|19177107|2016.94|0
2020|January|7|19179654|26877.47|0
2020|January|8|19208276|16636.73|0
2020|January|9|19209451|7019.18|0
2020|January|10|19209452|5946.37|0
2020|January|11|19210691|1713.48|0
2020|January|12|19257214|2351.28|0
2020|January|13|19257222|340.64|0
2020|January|14|19257223|276.7|0
2020|January|15|19257224|869.32|0
2020|January|16|19257391|601.17|0
2020|January|17|19257638|125721.21|0
2020|January|18|19258424|1518.32|0
2020|January|19|19258707|61.02|0
2020|January|20|19299228|2395.98|0
2020|January|21|19352194|3316.6|0
2020|January|22|19353644|1009.2|0
2020|January|23|19417843|69614.87|0
2020|January|24|20784691|1295.13|0
2020|January|25|20792535|270.56|0
2020|January|26|20813489|19591.83|0
2020|January|27|20839834|45892.39|0
2020|January|28|20840181|5834.88|0
2020|January|29|20840183|832.62|0
2020|January|30|20868778|2598.16|0
2020|January|31|20883793|425.05|0
2020|January|1|20888729|341.8|0
2020|January|2|20890821|72415.68|0
2020|January|3|20901295|574.06|0
2020|January|4|20905746|1294.93|0
2020|January|5|20908127|6032.66|0
2020|January|6|20925202|597.07|0
2020|January|7|20939309|1075.48|0
2020|January|8|20940448|257.04|0
2020|January|9|20940455|580.92|0
2020|January|10|20976855|24110.11|0
2020|January|11|20983661|3323.4|0
2020|January|12|22692679|409.31|0
2020|January|13|22724912|598.2|0
2020|January|14|22741672|2411.71|0
2020|January|15|22743215|3319.09|0
2020|January|16|22759947|760.82|0
2020|January|17|22774205|3402.84|0
2020|January|18|22774206|14781.43|0
2020|January|19|22785492|13383.4|0
2020|January|20|22788860|26302.73|0
2020|January|21|22789367|231.51|0
2020|January|22|22791373|606.46|0
2020|January|23|22799541|11931.5|0
2020|January|24|22801689|1695.46|0
2020|January|25|22802090|390.18|0
2020|January|26|22806323|98.57|0
2020|January|27|22816652|5635|0
2020|January|28|22817725|3977.7|0
2020|January|29|22830097|2361.1|0
2020|January|30|22830098|100002.98|0
2020|January|31|22835276|430.21|0
2020|January|1|22842245|16078.36|0
2020|January|2|22857406|359.87|0
2020|January|3|22857407|2211.79|0
2020|January|4|22862537|6124.63|0
2020|January|5|22862538|19478.46|0
2020|January|6|22863943|261.76|0
2020|January|7|22878825|9987.84|0
2020|January|8|22886691|55.2|0
2020|January|9|22886692|7.29|0
2020|January|10|22896313|64.59|0
2020|January|11|22896430|2055.52|0
2020|January|12|22901495|1024.87|0
2020|January|13|22902540|879.46|0
2020|January|14|22909142|2196.88|0
2020|January|15|22923500|942.37|0
2020|January|16|22936098|3458.5|0
2020|January|17|22936099|10087.72|0
2020|January|18|22949861|13575.73|0
2020|January|19|22949864|3105.71|0
2020|January|20|22966687|1716.66|0
2020|January|21|22987077|1094.38|0
2020|January|22|23118342|36008.45|0
2020|January|23|23120004|22649.64|0
2020|January|24|23140706|236.4|0
2020|January|25|23158042|6264.36|0
2020|January|26|23196512|709.56|0
2020|January|27|23199274|7252.08|0
2020|January|28|23217281|867.03|0
2020|January|29|23233249|1107654.42|0
2020|January|30|23260957|2612.84|0
2020|January|31|23335584|1128.24|0
2020|January|1|23366242|2648.13|0
2020|January|2|23423409|14081.53|0
2020|January|3|23428268|22874.25|0
2020|January|4|23463274|76.42|0
2020|January|5|24207236|429.94|0
2020|January|6|24237378|118.1|0
2020|January|7|24238930|4772.26|0
2020|January|8|24258938|246.87|0
2020|January|9|24262294|1087.17|0
2020|January|10|24266675|3594.18|0
2020|January|11|24284062|36492.87|0
2020|January|12|24444008|42.62|0
2020|January|13|24445097|721.37|0
2020|January|14|24577739|709.91|0
2020|January|15|25182859|616.6|0
2020|January|16|25190056|19922.54|0
2020|January|17|25192330|3369.04|0
2020|January|18|25194475|713.19|0
2020|January|19|25195582|40285.43|0
2020|January|20|25195785|73661.29|0
2020|January|21|25195802|274.17|0
2020|January|22|25195813|125.3|0
2020|January|23|25195820|113.03|0
2020|January|24|25197218|29571.91|0
2020|January|25|25198656|8778.46|0
2020|January|26|25840452|11879.56|0
2020|January|27|25848408|3847.11|0
2020|January|28|25865103|3597.4|0
2020|January|29|25892783|3795.72|0
2020|January|30|25897226|4460.76|0
2020|January|31|25911133|8762.48|0
2020|January|1|25918049|1336.4|0
2020|January|2|25932861|281.72|0
2020|January|3|25939180|6221.07|0
2020|January|4|25940126|401.99|0
2020|January|5|25955019|3283.34|0
2020|January|6|25971661|1406.68|0
2020|January|7|25980483|365.57|0
2020|January|8|25983300|786.71|0
2020|January|9|25989508|4513.93|0
2020|January|10|25993405|1022.83|0
2020|January|11|25995439|3229.84|0
2020|January|12|39001027|651.41|0
2020|January|13|39064274|2108.52|0
2020|January|14|39068025|909.88|0
2020|January|15|39080079|2183.34|0
2020|January|16|39103796|2134.62|0
2020|January|17|39122801|1919.89|0
2020|January|18|39138107|336.27|0
2020|January|19|42334473|1629364.75|0
2020|January|20|42334474|1542071.62|0
2020|January|21|42334479|608.34|0
2020|January|22|42334480|1368.76|0
2020|January|23|42334844|23987.71|0
2020|January|24|42341511|16032.34|0
2020|January|25|42346440|8875.58|0
2020|January|26|42347102|3294.03|0
2020|January|27|42348896|64.61|0
2020|January|28|42353809|8074.05|0
2020|January|29|42355561|9524.07|0
2020|January|30|42356039|4601.31|0
2020|January|31|42357372|871.47|0
2020|January|1|42357373|1739|0
2020|January|2|42357669|10044.1|0
2020|January|3|42371767|564.93|0
2020|January|4|42371947|48977.4|0
2020|January|5|42389646|5707.85|0
2020|January|6|42397846|310.31|0
2020|January|7|42399509|1679.5|0
2020|January|8|42401012|5582.68|0
2020|January|9|42405494|2092.35|0
2020|January|10|42405774|3318.54|0
2020|January|11|42419065|2208.04|0
2020|January|12|42421796|48253.08|0
2020|January|13|42426478|453.86|0
2020|January|14|42439824|396049.06|0
2020|January|15|42451915|7277.31|0
2020|January|16|42465924|392.04|0
2020|January|17|42465932|393.18|0
2020|January|18|42472593|4808.44|0
2020|January|19|42472886|1556.71|0
2020|January|20|42476994|4383.13|0
2020|January|21|42477010|2984.08|0
2020|January|22|42478170|4382.24|0
2020|January|23|42486999|1304.94|0
2020|January|24|42490017|569.66|0
2020|January|25|42491933|123.22|0
2020|January|26|42498375|468.17|0
2020|January|27|42502999|577.96|0
2020|January|28|42518531|2209.09|0
2020|January|29|42527423|115.72|0
2020|January|30|42532740|327.96|0
2020|January|31|42532985|1864.05|0
2020|January|1|42532986|7155.61|0
2020|January|2|42533011|52908.54|0
2020|January|3|42533023|1493.78|0
2020|January|4|42537711|2384.28|0
2020|January|5|42537712|7161.07|0
2020|January|6|42550429|4365.72|0
2020|January|7|42553656|2101.22|0
2020|January|8|42554958|2654534.96|0
2020|January|9|42559687|411.73|0
2020|January|10|42559697|671.69|0
2020|January|11|42566753|348890.35|0
2020|January|12|42582864|9378.79|0
2020|January|13|42582865|4961.97|0
2020|January|14|42588254|90300.19|0
2020|January|15|42589021|4851.67|0
2020|January|16|42598150|2089.96|0
2020|January|17|42598682|1325.57|0
2020|January|18|42599080|25976.54|0
2020|January|19|42599227|936162.4|0
2020|January|20|42630449|151770.82|0
2020|January|21|42673417|6376.07|0
2020|January|22|42676498|3854.96|0
2020|January|23|42703390|17899.36|0
2020|January|24|52092635|203.27|0
2020|January|25|52141719|4683|0
2020|January|26|55354565|6466.64|0
2020|January|27|55505687|1808.67|0
2020|January|28|55568390|1141.65|0
2020|January|29|55573487|82.24|0
2020|January|30|55573805|91.85|0
2020|January|31|55574240|356.14|0
2020|January|1|55597759|1767.17|0
